iter	Passed	Remaining
0	0	90
1	1	83
2	2	78
3	3	73
4	3	72
5	4	71
6	5	71
7	6	70
8	6	69
9	7	68
10	8	67
11	9	67
12	9	66
13	10	65
14	11	64
15	12	64
16	13	63
17	14	64
18	14	63
19	15	62
20	16	61
21	17	60
22	17	59
23	18	58
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	23	54
30	23	53
31	24	52
32	25	51
33	26	50
34	26	50
35	28	50
36	29	49
37	29	48
38	30	48
39	31	47
40	32	46
41	32	44
42	33	44
43	33	43
44	34	42
45	35	41
46	36	40
47	37	40
48	37	39
49	38	38
50	39	37
51	40	36
52	40	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	45	31
59	45	30
60	46	29
61	47	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	52	24
68	52	23
69	53	22
70	54	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	76	0
99	76	0
