iter	Passed	Remaining
0	1	1021
1	1	952
2	2	924
3	3	904
4	4	896
5	5	880
6	6	866
7	6	863
8	7	858
9	8	874
10	9	866
11	10	869
12	12	914
13	12	907
14	13	899
15	14	892
16	15	885
17	16	878
18	16	873
19	17	867
20	18	864
21	19	859
22	20	854
23	20	850
24	21	848
25	22	845
26	23	856
27	24	858
28	26	871
29	26	871
30	27	868
31	28	866
32	29	862
33	30	857
34	30	852
35	31	849
36	32	847
37	33	844
38	34	842
39	34	839
40	35	837
41	36	834
42	37	842
43	38	840
44	39	840
45	40	844
46	41	842
47	42	840
48	43	838
49	44	836
50	44	833
51	45	830
52	46	828
53	47	826
54	48	825
55	48	823
56	49	821
57	50	818
58	51	816
59	51	813
60	53	817
61	53	815
62	54	813
63	55	813
64	56	811
65	57	809
66	59	826
67	60	835
68	61	833
69	62	831
70	63	829
71	64	827
72	65	825
73	65	823
74	66	822
75	67	820
76	68	820
77	69	827
78	70	825
79	71	825
80	72	824
81	73	822
82	73	816
83	75	817
84	75	815
85	76	812
86	77	809
87	77	806
88	78	804
89	79	802
90	80	799
91	80	797
92	81	796
93	82	794
94	83	792
95	83	790
96	84	787
97	85	786
98	86	784
99	87	785
100	88	786
101	89	785
102	89	783
103	90	781
104	91	779
105	92	777
106	92	775
107	93	773
108	94	771
109	95	770
110	95	768
111	97	769
112	97	769
113	99	770
114	99	768
115	100	766
116	101	763
117	101	761
118	102	759
119	103	757
120	103	755
121	104	752
122	105	750
123	105	748
124	106	746
125	107	745
126	108	742
127	108	741
128	109	739
129	110	738
130	111	737
131	111	736
132	112	734
133	113	735
134	114	733
135	115	732
136	116	730
137	116	729
138	117	727
139	118	726
140	118	724
141	119	721
142	120	720
143	120	718
144	121	716
145	122	715
146	123	714
147	123	712
148	124	711
149	125	710
150	126	709
151	127	709
152	128	709
153	128	708
154	129	706
155	130	705
156	131	703
157	131	702
158	132	700
159	133	699
160	133	697
161	134	695
162	135	694
163	135	692
164	136	691
165	137	689
166	138	688
167	138	687
168	139	685
169	140	684
170	141	684
171	141	682
172	143	683
173	143	682
174	144	681
175	145	679
176	145	678
177	146	677
178	147	676
179	148	674
180	148	673
181	149	672
182	150	670
183	150	669
184	151	667
185	152	666
186	153	665
187	153	663
188	154	662
189	155	662
190	156	661
191	157	660
192	157	659
193	158	659
194	159	657
195	160	656
196	160	656
197	161	656
198	163	657
199	164	656
200	164	655
201	165	654
202	166	652
203	166	651
204	167	650
205	168	649
206	169	647
207	169	646
208	170	646
209	171	645
210	172	645
211	173	644
212	174	643
213	174	642
214	175	641
215	176	640
216	177	639
217	177	637
218	178	636
219	179	635
220	179	634
221	180	632
222	181	631
223	182	630
224	182	629
225	183	628
226	184	627
227	185	627
228	186	626
229	187	626
230	187	625
231	188	624
232	189	623
233	190	622
234	190	621
235	191	620
236	192	618
237	192	617
238	193	616
239	194	615
240	194	614
241	195	612
242	196	611
243	197	610
244	197	609
245	198	608
246	199	608
247	200	607
248	201	607
249	202	606
250	203	605
251	203	604
252	204	603
253	205	602
254	205	601
255	206	600
256	207	599
257	208	598
258	208	597
259	209	596
260	210	595
261	210	594
262	211	593
263	212	592
264	213	591
265	214	590
266	214	590
267	215	589
268	216	588
269	217	587
270	218	586
271	218	585
272	219	584
273	220	583
274	221	582
275	221	581
276	222	581
277	223	580
278	224	579
279	224	578
280	225	577
281	226	576
282	226	575
283	227	573
284	228	573
285	229	572
286	230	571
287	231	571
288	231	570
289	232	569
290	233	568
291	234	567
292	234	566
293	235	565
294	236	564
295	237	563
296	237	562
297	238	561
298	239	561
299	240	560
300	240	559
301	241	558
302	242	557
303	243	557
304	244	556
305	245	556
306	245	555
307	246	554
308	247	553
309	248	552
310	248	551
311	249	550
312	250	550
313	251	549
314	252	548
315	253	547
316	253	546
317	254	545
318	255	544
319	255	543
320	256	542
321	257	541
322	258	540
323	259	541
324	260	541
325	261	541
326	262	540
327	263	539
328	264	538
329	264	537
330	265	537
331	266	536
332	267	535
333	268	534
334	268	533
335	269	532
336	270	531
337	270	530
338	271	529
339	272	529
340	273	528
341	274	527
342	274	526
343	275	525
344	276	524
345	277	523
346	278	523
347	278	522
348	279	521
349	280	520
350	281	520
351	281	518
352	282	518
353	283	517
354	284	516
355	284	515
356	285	514
357	286	513
358	287	512
359	287	511
360	289	511
361	289	510
362	290	509
363	291	509
364	292	508
365	292	507
366	293	506
367	294	505
368	294	504
369	295	503
370	296	502
371	297	501
372	297	500
373	298	499
374	299	498
375	300	497
376	300	496
377	301	496
378	302	495
379	303	494
380	304	494
381	304	493
382	305	492
383	306	491
384	307	490
385	307	489
386	308	488
387	309	487
388	309	486
389	310	485
390	311	485
391	312	484
392	312	483
393	313	482
394	314	481
395	315	480
396	315	479
397	316	479
398	317	478
399	318	478
400	319	477
401	320	476
402	320	475
403	321	474
404	322	473
405	323	472
406	323	471
407	324	470
408	325	469
409	325	468
410	326	468
411	327	467
412	328	466
413	328	465
414	329	464
415	330	463
416	331	463
417	332	462
418	332	461
419	333	460
420	334	459
421	335	458
422	335	458
423	336	457
424	337	456
425	338	456
426	339	455
427	340	454
428	340	453
429	341	452
430	342	451
431	342	450
432	343	450
433	344	449
434	345	448
435	345	447
436	347	447
437	348	446
438	348	445
439	349	444
440	350	443
441	350	443
442	351	442
443	352	441
444	353	440
445	353	439
446	354	438
447	355	437
448	355	436
449	356	435
450	357	434
451	357	434
452	358	433
453	359	432
454	360	431
455	361	431
456	362	430
457	363	429
458	363	429
459	364	428
460	365	427
461	366	426
462	366	425
463	367	424
464	368	423
465	369	422
466	369	422
467	370	421
468	371	420
469	371	419
470	372	418
471	373	417
472	374	416
473	374	416
474	375	415
475	376	414
476	377	414
477	378	413
478	379	412
479	379	411
480	380	410
481	381	409
482	381	408
483	382	408
484	383	407
485	384	406
486	384	405
487	385	404
488	386	403
489	387	402
490	387	401
491	388	401
492	389	400
493	390	399
494	391	399
495	392	399
496	393	398
497	394	397
498	395	396
499	396	396
500	396	395
501	397	394
502	398	393
